,Model,Testing Accuracy %,f1 test %,Precision test %,Recall test %
0,Random forest,82.41758241758241,83.99999999999999,84.0,84.0
1,KNN,86.81318681318682,88.0,88.0,88.0
2,Decision tree,78.02197802197803,78.72340425531915,84.0909090909091,74.0
3,Logistic Regression,86.81318681318682,88.23529411764707,86.53846153846155,90.0
4,SVM,87.91208791208791,88.8888888888889,89.79591836734694,88.0
5,Xgboost,83.51648351648352,84.84848484848484,85.71428571428571,84.0
6,Voting,81.31868131868131,82.82828282828282,83.6734693877551,82.0
