,Model,Testing Accuracy %,f1 test %,Precision test %,Recall test %
0,Random forest,82.41758241758241,83.99999999999999,84.0,84.0
1,KNN,86.81318681318682,88.0,88.0,88.0
2,Decision tree,100.0,78.72340425531915,84.0909090909091,74.0
3,Logistic Regression,86.81318681318682,88.23529411764707,86.53846153846155,90.0
4,SVM,86.81318681318682,88.0,88.0,88.0
